titulo,operacion,sector_buscado,precio_texto,precio_num,moneda,habitaciones,banos,metros_m2,amueblado,ubicacion,url
Vive mejor hoy: apartamento ideal en San Isidro co,venta,todos,"RD$ 3,950,000",3950000.0,DOP,3.0,3,75.0,sí,"Santo Domingo Este, Santo Domingo.Otro, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/vive-mejor-hoy-apartamento-ideal-en-san-isidro-co-h36c01q
"Apartamento en venta en El Millón, Santo Domingo |",venta,todos,"US$ 170,000",170000.0,USD,2.0,2,38.0,sí,"Distrito Nacional, Santo Domingo.El Millón, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-el-millon-santo-domingo-qmg8n9y
"Apartamento en Venta ARROYO HONDO RD$8,300,000.00",venta,todos,"RD$8,300,000.00",830000000.0,DOP,3.0,3,146.0,sí,"Distrito Nacional, Santo Domingo.Ensanche Quisqueya, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-arroyo-hondo-rd-8-300-000-00-94wtbn9
Apartamento nuevo en Evaristo Morales,venta,todos,"US$ 164,000",164000.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-nuevo-en-evaristo-morales-njme2yh
Apartamentos en Gazcue para inversión,venta,todos,"US$ 110,000",110000.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Gazcue, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamentos-en-gazcue-para-inversion-z674qke
Apartamento estudio en el Millón,venta,todos,"US$ 94,000",94000.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.El Millón, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-estudio-en-el-millon-6gr87y9
Apartamentos en Gazcue,venta,todos,"US$ 244,300",244300.0,USD,3.0,2,,sí,"Distrito Nacional, Santo Domingo.Gazcue, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamentos-en-gazcue-tvfn9hh
Apartamento en el Millón,venta,todos,"US$ 235,000",235000.0,USD,3.0,3,135.0,sí,"Distrito Nacional, Santo Domingo.El Millón, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-el-millon-0mpbj9h
Se vende apartamento en Residencial Carmen Renata,venta,todos,"RD$ 3,300,000",3300000.0,DOP,3.0,3,,sí,"Santo Domingo Oeste, Santo Domingo.Santo Domingo Oeste",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/se-vende-apartamento-en-residencial-carmen-renata-9vvz255
Venta de Apartamento en Piantini,venta,todos,"US$ 450,000",450000.0,USD,3.0,3,20.0,sí,"Distrito Nacional, Santo Domingo.Piantini, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/venta-de-apartamento-en-piantini-tkk15y3
Apartamento con Terraza en Santo Domingo Oeste,venta,todos,"RD$ 5,950,000",5950000.0,DOP,3.0,3,89.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-con-terraza-en-santo-domingo-oeste-jxkz39q
apartamento en la Autopista de San isidro,venta,todos,"RD$ 5,400,000",5400000.0,DOP,3.0,3,34.0,sí,"Santo Domingo Este, Santo Domingo.Otro, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-la-autopista-de-san-isidro-vs8g0he
Amplio Apartamento ideal para familias o inversión,venta,todos,"RD$ 9,600,000",9600000.0,DOP,3.0,3,130.0,sí,"Distrito Nacional, Santo Domingo.Jardines Del Sur, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/amplio-apartamento-ideal-para-familias-o-inversion-t1535cn
Apartamento en ZONA COLONIAL,venta,todos,"US$ 150,000",150000.0,USD,3.0,1,,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-zona-colonial-akem4py
avenida independencia 2 habitaciones 2 parqueos  e,venta,todos,"RD$ 8,700,000",8700000.0,DOP,2.0,2,109.0,sí,"Distrito Nacional, Santo Domingo.Tropical Metaldom, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/avenida-independencia-2-habitaciones-2-parqueos-e-9e0qm57
Apartamento Segundo Nivel en Villas Naco,venta,todos,"RD$ 5,750,000",5750000.0,DOP,1.0,3,142.0,sí,"Santo Domingo Oeste, Santo Domingo.null, Santo Domingo Oeste",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-segundo-nivel-en-villas-naco-bmr1a26
"apatamento tradicional en Alma Rosa en RD$6,300,000",venta,todos,"RD$6,300,000",6300000.0,DOP,3.0,3,115.0,sí,"location_onSanto Domingo Este, Santo Domingo.Alma Rosa, Santo Domingo Estehomeapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apatamento-tradicional-en-alma-rosa-en-rd-6-300-000-zev1cg9
Apartamento en Venta Completamente Amueblado,venta,todos,"US$ 195,000",195000.0,USD,1.0,1,70.0,sí,"Distrito Nacional, Santo Domingo.Piantini, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-completamente-amueblado-avtmqva
Apartamento de 3 habitaciones en Santo Domingo Norte,venta,todos,"RD$ 5,950,000",5950000.0,DOP,3.0,3,90.0,sí,"Santo Domingo Norte, Santo Domingo.Santo Domingo Norte",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-de-3-habitaciones-en-santo-domingo-norte-takjpea
Apartamento en venta con vista al mar en Malecón Center,venta,todos,"US$ 260,000",260000.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-con-vista-al-mar-en-malecon-center-bggktb9
Avenida independencia primer piso 2 hab 2 parqueos,venta,todos,"RD$ 8,700,000",8700000.0,DOP,2.0,2,98.0,sí,"Distrito Nacional, Santo Domingo.Jardines Del Sur, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/avenida-independencia-primer-piso-2-hab-2-parqueos-7ze2jxa
Invierte o vive en un proyecto moderno en Villa Ma,venta,todos,"US$ 108,000",108000.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Villa Marina, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/invierte-o-vive-en-un-proyecto-moderno-en-villa-ma-m2nbk7a
vendo apartamento con bono vivienda en autopista de San isidro,venta,todos,"US$ 87,000",87000.0,USD,3.0,3,85.0,sí,"Santo Domingo Este, Santo Domingo.Otro, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/vendo-apartamento-con-bono-vivienda-en-autopista-de-san-isidro-r43364w
¡VIVE EN EL LUJO DE MALECÓN CENTER CON VISTAS PANORÁMICAS ESPECTACULARES!,venta,todos,"US$ 135,000",135000.0,USD,1.0,1,70.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/vive-en-el-lujo-de-malecon-center-con-vistas-panoramicas-espectaculares-dypxdd2
¡Apartamento en Venta en Bella Vista Norte con Amplia Piscina!,venta,todos,"RD$ 6,500,000",6500000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-bella-vista-norte-con-amplia-piscina-br8tmdz
Apartamento en Venta 3er nivel– Autopista de San I,venta,todos,"RD$ 5,300,000",5300000.0,DOP,3.0,3,60.0,sí,"Santo Domingo Este, Santo Domingo.San Isidro Adentro, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-3er-nivel-autopista-de-san-i-2gy5pk0
Apartamento Amplio de 142 M2 en el centro de Bella,venta,todos,"RD$ 12,000,000",12000000.0,DOP,3.0,3,142.0,sí,"Distrito Nacional, Santo Domingo.Bella Vista, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-amplio-de-142-m2-en-el-centro-de-bella-rje8x4f
Penthouse Residencial Emil – Exclusividad y Amplia,venta,todos,"RD$ 10,000,000",10000000.0,DOP,2.0,4,172.0,sí,"Santo Domingo Este, Santo Domingo.Corales del Sur, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/penthouse-residencial-emil-exclusividad-y-amplia-q7fwy6d
Apartamentos de 2 habitaciones ubicado en Los Res,venta,todos,"US$ 151,000",151000.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.San Gerónimo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamentos-de-2-habitaciones-ubicado-en-los-res-n8e5zn0
Apartamentos de 2 habitaciones ubicado en Los Restauradores,venta,todos,"US$ 151,000",151000.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamentos-de-2-habitaciones-ubicado-en-los-restauradores-msg5vys
APARTAMENTO CON VISTA AL MAR EN MALECÓN CENTER,venta,todos,"US$ 310,000",310000.0,USD,3.0,3,282.0,sí,"Distrito Nacional, Santo Domingo.San Gerónimo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-con-vista-al-mar-en-malecon-center-en-s8e5017
"Apartamento 145 M2, 3 habitaciones en Venta en Eva",venta,todos,"RD$ 11,200,000",11200000.0,DOP,3.0,3,145.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-145-m2-3-habitaciones-en-venta-en-eva-7pnf30g
Apartamento en Venta en El Millón cerca de Núñez d,venta,todos,"RD$ 7,000,000",7000000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.El Millón, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-el-millon-cerca-de-nunez-d-n1xj7q3
Apartamento en venta con vista al mar en Malecon Center,venta,todos,"US$ 350,000",350000.0,USD,3.0,3,282.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-con-vista-al-mar-en-malecon-center-regfg1b
APARTAMENTO EN VENTA DE UNA HABITACION EN MALECON CENTER,venta,todos,"US$ 128,000",128000.0,USD,1.0,1,70.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-de-una-habitacion-en-malecon-center-nwy2m4s
APARTAMENTO COMPLETAMENTE AMUEBLADO Y EQUIPADO EN,venta,todos,"US$ 145,000",145000.0,USD,1.0,1,70.0,sí,"Distrito Nacional, Santo Domingo.San Gerónimo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-completamente-amueblado-y-equipado-en-gag0dgr
"Residencial GMS – Apartamentos en Las Américas, Sa",venta,todos,"US$ 72,875",72875.0,USD,3.0,3,85.0,sí,"Santo Domingo Este, Santo Domingo.null, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/residencial-gms-apartamentos-en-las-americas-sa-g7633nm
"apartamento en venta en avenida hípica por tan solo RD$3,200,000",venta,todos,"RD$3,200,000",3200000.0,DOP,2.0,3,,sí,"Santo Domingo Este, Santo Domingo.Otro, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-avenida-hipica-por-tan-solo-rd-3-200-000-qkv3mk0
¡GRAN OPORTUNIDAD ALTOS DE ARROYO HONDO III !!!,venta,todos,"RD$ 7,500,000",7500000.0,DOP,3.0,3,115.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/gran-oportunidad-altos-de-arroyo-hondo-iii-dyfrdgp
Vendo Apartamento de 115 Mts2 Ubicado en Villa Mella próximo a Mamá Tingo.,venta,todos,"RD$ 5,300,000",5300000.0,DOP,3.0,3,,sí,"Santo Domingo Norte, Santo Domingo.Santo Domingo Norte",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/vendo-apartamento-de-115-mts2-ubicado-en-villa-mella-proximo-a-mama-tingo-7k9f95b
"Amplio Apartamento En La Av. Independencia, Km 8 3",venta,todos,"RD$ 8,500,000",8500000.0,DOP,2.0,3,,sí,"Distrito Nacional, Santo Domingo.Miramar, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/amplio-apartamento-en-la-av-independencia-km-8-3-amcaxq5
Características del apartamento: 104 m² de constru,venta,todos,"RD$ 7,800,000",7800000.0,DOP,3.0,2,104.0,sí,"Distrito Nacional, Santo Domingo.Los Restauradores, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/caracteristicas-del-apartamento-104-m-de-constru-bg7rfkm
Apartamento en Venta en Ensanche Naco,venta,todos,"US$ 269,000",269000.0,USD,2.0,2,70.0,sí,"location_onDistrito Nacional, Santo Domingo.null, Distrito Nacionalhomeapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-ensanche-naco-jwaty29
Edificio en 27 DE FEBRERO,venta,todos,"US$ 3,500,000",3500000.0,USD,10.0,10,872.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalhomeapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/edificio-en-27-de-febrero-hz6cpb1
vendo apartamento en torre de lujo con increíble piscina y amenidades.,venta,todos,"US$ 70,000",70000.0,USD,2.0,2,,sí,"location_onSanto Domingo Este, Santo Domingo.Otro, Santo Domingo Estehomeapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/vendo-apartamento-en-torre-de-lujo-con-increible-piscina-y-amenidades-kb2vfhy
Apartamentos en Venta en Ensanche Serrallés | 1 y 2 Habitaciones,venta,todos,"US$ 180,000",180000.0,USD,2.0,1,100.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamentos-en-venta-en-ensanche-serralles-1-y-2-habitaciones-r9bz22z
bella vista Amplio Apartamento  primer piso de 14,venta,todos,"RD$ 12,200,000",12200000.0,DOP,3.0,3,146.0,sí,"Distrito Nacional, Santo Domingo.Bella Vista, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/bella-vista-amplio-apartamento-primer-piso-de-14-59wy4a3
Apartamento de 130 m² en Renacimiento | 2 Habitaci,venta,todos,"RD$ 9,400,000",9400000.0,DOP,2.0,2,130.0,sí,"Distrito Nacional, Santo Domingo.Renacimiento, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-de-130-m-en-renacimiento-2-habitaci-pr9fy9j
"Apartamento Nuevo 2 Habitaciones en Venta, Urbaniz",venta,todos,"RD$ 7,350,000",7350000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Miramar, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-nuevo-2-habitaciones-en-venta-urbaniz-f7jwzbe
Residencial Samer – Confort y Modernidad en la Ave,venta,todos,"US$ 79,888",79888.0,USD,3.0,2,,sí,"Santo Domingo Este, Santo Domingo.Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/residencial-samer-confort-y-modernidad-en-la-ave-qej5em4
"apartamentos en la Avenida Ecológica de 1 y 2 hab, al mejor precio del mercado.",venta,todos,"US$ 50,000",50000.0,USD,2.0,2,99.0,sí,"location_onSanto Domingo Este, Santo Domingo.Avenida Ecológica, Santo Domingo Estehomeapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamentos-en-la-avenida-ecologica-de-1-y-2-hab-al-mejor-precio-del-mercado-sjw84wy
VENTA DE APARTAMENTO EN UBICACIÓN PRIVILIGIADA EN LA AUTOPISTA DE SAN ISIDRO,venta,todos,"RD$ 6,000,000",6000000.0,DOP,3.0,3,82.0,sí,"location_onSanto Domingo Este, Santo Domingo.Santo Domingo Estehomeapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/venta-de-apartamento-en-ubicacion-priviligiada-en-la-autopista-de-san-isidro-cdgt001
LP12 – Apartamentos en Santo Domingo Este,venta,todos,"US$ 50,000",50000.0,USD,3.0,3,,sí,"location_onSanto Domingo Este, Santo Domingo.Santo Domingo Estehomeapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/lp12-apartamentos-en-santo-domingo-este-ygvd9cj
Residencial Villas del Este –  Santo Domingo,venta,todos,"RD$ 4,800,000",4800000.0,DOP,3.0,3,,sí,"Santo Domingo Este, Santo Domingo.Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/residencial-villas-del-este-santo-domingo-pp48g9v
Boca Chica Residence - cerca de la playa,venta,todos,"US$ 56,000",56000.0,USD,3.0,2,,sí,"Boca Chica, Santo Domingo.Boca Chica",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/boca-chica-residence-cerca-de-la-playa-kanxmtn
Residencial Terrazas de Boca Chica - En la zona Es,venta,todos,"US$ 72,500",72500.0,USD,2.0,3,54.0,sí,"Boca Chica, Santo Domingo.null, Boca Chica",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/residencial-terrazas-de-boca-chica-en-la-zona-es-k3v7b01
"Venta de Apartamento en Bella Vista Norte, primer",venta,todos,"RD$ 8,800,000",8800000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Bella Vista, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/venta-de-apartamento-en-bella-vista-norte-primer-s17q5dz
Amplio Apartamento en Venta 2do nivel – ALMA ROSA 1,venta,todos,"RD$ 17,200,000",17200000.0,DOP,3.0,3,50.0,sí,"Santo Domingo Este, Santo Domingo.Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/amplio-apartamento-en-venta-2do-nivel-alma-rosa-1-szxhzpq
Apartamento en Venta en Ciudad Juan Bosch –4to nivel  Santo Domingo Este,venta,todos,"RD$ 3,900,000",3900000.0,DOP,3.0,3,69.0,sí,"Santo Domingo Este, Santo Domingo.Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-ciudad-juan-bosch-4to-nivel-santo-domingo-este-k5c860j
"Penthouse en Venta, Amplio y cómodo  – Urb. Real,",venta,todos,"US$ 279,000",279000.0,USD,3.0,3,344.0,sí,"Distrito Nacional, Santo Domingo.Renacimiento, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/penthouse-en-venta-amplio-y-comodo-urb-real-g1p9nag
"Evaristo Morales, Distrito Nacional, Santo Doming",venta,todos,"US$ 152,000",152000.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.El Millón, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/evaristo-morales-distrito-nacional-santo-doming-5wcfahh
APARTAMENTO AMUEBLADO EN MALECON CENTER EN VENTA,venta,todos,"US$ 295,000",295000.0,USD,3.0,3,,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-amueblado-en-malecon-center-en-venta-ktqz86a
Apartamento en venta en Malecon Center con vista a,venta,todos,"US$ 400,000",400000.0,USD,3.0,3,,sí,"Distrito Nacional, Santo Domingo.San Gerónimo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-malecon-center-con-vista-a-a041pz5
Apartamento con vista al MAR desde la terraza en M,venta,todos,"US$ 350,000",350000.0,USD,3.0,3,282.0,sí,"Distrito Nacional, Santo Domingo.San Gerónimo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-con-vista-al-mar-desde-la-terraza-en-m-pbzx4ns
Apartamento en Venta en la Avenida Independencia |,venta,todos,"US$ 150,000",150000.0,USD,3.0,3,120.0,sí,"Distrito Nacional, Santo Domingo.Mirador Sur, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-la-avenida-independencia-2jnjzqw
"Apartamento en Venta en El Portal, D.N. – 4to Piso",venta,todos,"RD$ 8,600,000",8600000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-el-portal-d-n-4to-piso-3msvvfz
"APARTAMENTOS DE UNA HABITACION EN VENTA, UBICADO E",venta,todos,"US$ 71,500",71500.0,USD,1.0,1,,sí,"Santo Domingo Oeste, Santo Domingo.Mirador del Oeste , Santo Domingo Oeste",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamentos-de-una-habitacion-en-venta-ubicado-e-p7nttt0
Venta Apartamento Santo Domingo Este,venta,todos,"RD$ 6,800,000",6800000.0,DOP,3.0,3,102.0,sí,"Santo Domingo Este, Santo Domingo.Prado Oriental, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/venta-apartamento-santo-domingo-este-82gr38j
apartamento en santo domingo este,venta,todos,"RD$ 4,564,583",4564583.0,DOP,3.0,3,70.0,sí,"location_onSanto Domingo Este, Santo Domingo.Avenida Ecológica, Santo Domingo Estehomeapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-santo-domingo-este-8sbmqyp
Crux del Prado – Apartamentos en la Jacobo Majluta,venta,todos,"RD$ 5,650,000",5650000.0,DOP,3.0,3,100.0,sí,"Santo Domingo Norte, Santo Domingo.Santo Domingo Norte",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/crux-del-prado-apartamentos-en-la-jacobo-majluta-m6mq52w
Torre Milos II –  Reparto Los Tres ojos,venta,todos,"RD$ 8,556,000",8556000.0,DOP,3.0,3,129.0,sí,"Santo Domingo Este, Santo Domingo.Los Tres Ojos, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/torre-milos-ii-reparto-los-tres-ojos-h1pfzzp
apartamento en la autopista las Américas,venta,todos,"US$ 69,385",69385.0,USD,3.0,3,,sí,"Santo Domingo Este, Santo Domingo.Las Américas, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-la-autopista-las-americas-yj8fdgs
"Por la Jacobo, Próximo a la Embajada de Estados Unidos.",venta,todos,"US$ 83,918",83918.0,USD,3.0,3,,sí,"Santo Domingo Norte, Santo Domingo.Santo Domingo Norte",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/por-la-jacobo-proximo-a-la-embajada-de-estados-unidos-7yjgjwn
"GRAN PROYECTO DE APARTAMENTOS EN VENTA, ZONA UNIVERSITARIA.",venta,todos,"US$ 205,000",205000.0,USD,3.0,2,,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/gran-proyecto-de-apartamentos-en-venta-zona-universitaria-fkdntat
Apartamento en venta en Colinas de los Rios 2do Pi,venta,todos,"RD$ 6,700,000",6700000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-colinas-de-los-rios-2do-pi-52nfkd5
"AVENIDA INDEPENDENCIA  Urbanización Tropical, Dist",venta,todos,"RD$ 4,900,000",4900000.0,DOP,1.0,1,70.0,sí,"Distrito Nacional, Santo Domingo.Tropical Metaldom, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/avenida-independencia-urbanizacion-tropical-dist-st3szq9
"NUEVO PROYECTO DE 2 y 3 HABS, AV. INDEPENDENCIA, IN-01.",venta,todos,"RD$ 4,650,000",4650000.0,DOP,3.0,2,,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/nuevo-proyecto-de-2-y-3-habs-av-independencia-in-01-p3mvys4
Apartamento de 3 Habitaciones 2do piso con terraza,venta,todos,"RD$ 13,000,000",13000000.0,DOP,3.0,3,152.0,sí,"Distrito Nacional, Santo Domingo.Renacimiento, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-de-3-habitaciones-2do-piso-con-terraza-q4m98d1
partamento De Venta Avenida Independencia Una Habi,venta,todos,"US$ 100,000",100000.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Dominicanos Ausentes, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/partamento-de-venta-avenida-independencia-una-habi-7afjm7v
"Apartamento En Avenida Independencia, Una Habitaci",venta,todos,"RD$ 5,400,000",5400000.0,DOP,,1,,sí,"Distrito Nacional, Santo Domingo.Dominicanos Ausentes, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-avenida-independencia-una-habitaci-ejarxtk
"Vive en El Millón:Apartamento en Venta,Torre Moderna con Excelentes Amenidades.",venta,todos,"US$ 215,000",215000.0,USD,2.0,2,97.0,sí,"Distrito Nacional, Santo Domingo.El Millón I, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/vive-en-el-millon-apartamento-en-venta-torre-moderna-con-excelentes-amenidades-m1syaha
Apartamento en El Millón Bello Apartamento 2 Hab C,venta,todos,"US$ 191,000",191000.0,USD,2.0,2,43.0,sí,"Distrito Nacional, Santo Domingo.El Millón, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-el-millon-bello-apartamento-2-hab-c-rk7z3n3
Apartamento en Venta en Evaristo Morales a pasos d,venta,todos,"US$ 152,000",152000.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/apartamento-en-venta-en-evaristo-morales-a-pasos-d-q1kznvz
Venta de apartamento,venta,todos,"RD$ 2,990,000",2990000.0,DOP,3.0,3,,sí,"Santo Domingo Este, Santo Domingo.Ciudad Juan Bosh , Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/venta-de-apartamento-6vd5e7j
venta de apartamento amueblado en evaristo morales,venta,todos,"US$ 152,000",152000.0,USD,2.0,2,115.0,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-venta/apartamentos/venta-de-apartamento-amueblado-en-evaristo-morales-njj3pcw
