titulo,operacion,sector_buscado,precio_texto,precio_num,moneda,habitaciones,banos,metros_m2,amueblado,ubicacion,url
Espectaculares apartamentos de una habitación con Vista al  Malecón en Gazcue,alquiler,todos,US$ 900,900.0,USD,3.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/espectaculares-apartamentos-de-una-habitacion-con-vista-al-malecon-en-gazcue-e0mxhex
Vendo / Alquilo apartamento ubicado en Mirador Norte.,alquiler,todos,US$ 990,990.0,USD,2.0,1,68.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/vendo-alquilo-apartamento-ubicado-en-mirador-norte-b23d5an
"APARTAMENTO AMUEBLADO 70 MTS2, MALECON CENTER",alquiler,todos,"US$ 1,050",1050.0,USD,1.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amueblado-70-mts2-malecon-center-azw3cqs
Apartamento en Alquiler y Venta en Serralles,alquiler,todos,"US$ 1,000",1000.0,USD,1.0,1,60.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-y-venta-en-serralles-07cq5pq
Apartamento en Alquiler en Naco Amueblado de UNA H,alquiler,todos,"US$ 1,100",1100.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Ensanche Naco, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-en-naco-amueblado-de-una-h-ms1bkt4
"En la Esperilla, apartamento completamente amueblado de 2 habitaciones",alquiler,todos,"US$ 2,000",2000.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.La Esperilla, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/en-la-esperilla-apartamento-completamente-amueblado-de-2-habitaciones-nt5t9bs
"Alquilo Apartamento en Urbanización Real, UR-02",alquiler,todos,"US$ 1,150",1150.0,USD,,3,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-apartamento-en-urbanizacion-real-ur-02-dx4qzad
APARTAMENTO CLASICO EN RENTA EVARISTO MORALES SIN,alquiler,todos,"RD$ 55,000",55000.0,DOP,3.0,3,,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-clasico-en-renta-evaristo-morales-sin-pbt9cqh
Oportunidad Única en Serrallés: Alquiler sin inter,alquiler,todos,US$ 770,770.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Serrallés, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/oportunidad-unica-en-serralles-alquiler-sin-inter-cdgd0qq
APARTAMENTO AMUEBLADO EN LA JULIA CON VISTA AL MAR,alquiler,todos,"US$ 2,350",2350.0,USD,,2,64.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amueblado-en-la-julia-con-vista-al-mar-3wxqr49
ALQUILO SIN INTERMEDIARIOS PROXIMO A UNICARIBE 30 estudio pequeño,alquiler,todos,"RD$ 30,000",30000.0,DOP,2.0,2,,sí,"Distrito Nacional, Santo Domingo.30 De Mayo, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-sin-intermediarios-proximo-a-unicaribe-30-x06qsev
Alquilo Hermoso apartamento de 2 hab. en Renacimiento,alquiler,todos,US$ 900,900.0,USD,2.0,2,89.0,sí,"Distrito Nacional, Santo Domingo.Renacimiento, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-hermoso-apartamento-de-2-hab-en-renacimie-2rn9yyg
ALQUILER DE APARTAMENTO EN URBANIZACIÓN REAL D.N.,alquiler,todos,"US$ 1,900",1900.0,USD,3.0,3,182.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-de-apartamento-en-urbanizacion-real-d-n-36de3mz
Apartamento en Alquiler En el Millón,alquiler,todos,"RD$ 55,000",55000.0,DOP,3.0,3,145.0,sí,"Distrito Nacional, Santo Domingo.El Millón, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-en-el-millon-rbn14bg
Renacimiento Alquilo Torre Moderna,alquiler,todos,US$ 900,900.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.Renacimiento, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/renacimiento-alquilo-torre-moderna-k5ma97z
Renacimiento Alquilo Apartamento en  Torre Moderna,alquiler,todos,"US$ 1,000",1000.0,USD,2.0,2,105.0,sí,"Distrito Nacional, Santo Domingo.Renacimiento, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/renacimiento-alquilo-apartamento-en-torre-moderna-n7828bd
COMODO APARTAMENTO CON EXCELENTE UBICACIÓN EN MIRADOR NORTE,alquiler,todos,"US$ 1,200",1200.0,USD,1.0,2,105.0,sí,"Distrito Nacional, Santo Domingo.Mirador Norte, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-bella-vista-01epf0jdpbztsb4y1ses7f179y
Apartamento hermoso de 2 habitaciones moderno con excelente  confort,alquiler,todos,"US$ 1,200",1200.0,USD,2.0,2,,sí,"Distrito Nacional, Santo Domingo.BELLA VISTA, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-hermoso-de-2-habitaciones-moderno-con-excelente-confort-01ew6kx9twktzzsws7n56rtxzd
APARTAMENTO CON BELLA ÁREA SOCIAL TORRE MODERNA,alquiler,todos,"US$ 1,100",1100.0,USD,1.0,1,120.0,sí,"location_onOtras ciudades, Santo Domingo.Otras ciudadesapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-con-bella-area-social-torre-moderna-01epeq6yj9b0dbqf5z9gnap4b4
HERMOSO APARTAMENTO CON LINEA BLANCA IDEAL PARA EJECUTIVOS TORRE MODERNA,alquiler,todos,"US$ 1,100",1100.0,USD,2.0,2,250.0,sí,"location_onOtras ciudades, Santo Domingo.Otras ciudadesapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/hermoso-apartamento-con-linea-blanca-ideal-para-ejecutivos-torre-moderna-01epf670gemf2kpkaf9j6v4kc8
ALQUILO APARTAMENTO CLASICO IMPECABLE MUY ILUMINADO MIRADOR NORTE,alquiler,todos,"RD$ 58,000",58000.0,DOP,,2,,sí,"Distrito Nacional, Santo Domingo.Mirador Norte, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-apartamento-clasico-impecable-muy-iluminado-mirador-norte-e7fzx9r
